,M,density,Z,m,l,c_lm,N_lm,n,B
0,Be,1.0,4.0,7.14,1.58,1.389,2.05,1.803,1.536
1,C_diamond,1.0,6.0,5.09,1.12,1.469,1.61,1.794,0.6685
2,C_graphite,1.0,6.0,5.08,1.12,1.469,1.61,1.796,1.029
3,Mg,1.0,12.0,4.16,0.543,1.637,1.051,1.764,1.2970000000000002
4,Al,1.0,13.0,3.8,0.471,1.65,0.993,1.783,0.797
5,Si,1.0,14.0,4.05,0.481,1.671,0.995,1.625,1.36
6,Ti,1.0,22.0,3.13,0.396,1.624,0.96,1.891,0.284
7,Fe,1.0,26.0,3.23,0.381,1.668,0.925,1.732,0.2761
8,Ni,1.0,28.0,3.07,0.378,1.657,0.93,1.724,0.24140000000000003
9,Cu,1.0,29.0,3.02,0.374,1.653,0.929,1.719,0.2544
10,Ge,1.0,32.0,2.8,0.359,1.635,0.929,1.708,0.44800000000000006
11,Pd,1.0,46.0,2.46,0.375,1.575,0.974,1.66,0.2251
12,Ag,1.0,47.0,2.64,0.331,1.632,0.919,1.659,0.256
13,W,1.0,74.0,2.29,0.396,1.522,1.02,1.575,0.1975
14,Pt,1.0,78.0,2.29,0.387,1.527,1.011,1.564,0.1874
15,Au,1.0,79.0,2.35,0.391,1.534,1.01,1.559,0.211
16,Pb,1.0,82.0,2.38,0.417,1.519,1.037,1.553,0.37000000000000005
17,Bi,1.0,83.0,2.39,0.414,1.522,1.033,1.549,0.484
18,U,1.0,92.0,2.21,0.51,1.37,1.17,1.539,0.24
19,SiO2,2.65,0.0,4.47,0.61,1.622,1.107,1.772,0.836
20,SiC,3.22,0.0,4.3,0.571,1.634,1.073,1.769,0.6880000000000001
21,Al2O3,4.0,0.0,4.5,0.619,1.618,1.115,1.773,0.5664
22,GaAs,5.31,0.0,2.79,0.362,1.63,0.934,1.707,0.44960000000000006
23,PbS,7.2,0.0,2.44,0.409,1.546,1.018,1.593,0.493
24,Paraffin,0.77,0.0,6.6,1.49,1.408,1.95,1.801,2.745
25,PE,0.87,0.0,6.58,1.49,1.407,1.95,1.8,2.4350000000000005
26,UHMPE,0.94,0.0,6.57,1.49,1.407,1.95,1.799,2.256
27,Acryl,1.055,0.0,5.08,1.24,1.44,1.74,1.795,2.116
28,Nylon,1.18,0.0,5.06,1.23,1.443,1.73,1.795,1.879
29,Plexi,1.19,0.0,5.07,1.23,1.444,1.72,1.795,1.832
30,Mylar,1.397,0.0,5.11,1.1,1.478,1.59,1.794,1.596
31,Kapton,1.42,0.0,5.16,1.06,1.487,1.55,1.793,1.6030000000000002
32,Cellulose,1.44,0.0,5.4,0.926,1.53,1.405,1.789,1.588
33,Teflon,2.098,0.0,5.65,0.762,1.584,1.233,1.784,1.115
